collectorNumber,foiled,inMyTradelist,inMyCollection,inMyWantlist,name_en,name_fr,faction,rarity,type,handCost,reserveCost,forestPower,mountainPower,waterPower,landmarksSize,reserveSize,abilities_en,supportAbility_en,abilities_fr,supportAbility_fr,id,imagePath
BTG-034-C-EN,False,0,2,False,Issun-bōshi,Issun-bōshi,Bravos,Common,Character,1,1,0,0,2,,,,{D} : The next Character you play this turn gains 1 boost. (Discard me from Reserve to do this.),,{D} : Le prochain Personnage que vous jouez ce tour gagne 1 boost. (Défaussez-moi de la Réserve pour ça.),ALT_CORE_B_BR_05_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_05/JPG/en_US/d9fc98c1ef0664766b2359bea983dc22.jpg
BTG-035-C-EN,False,0,1,False,Bravos Bladedancer,Danseuse de Lames Bravos,Bravos,Common,Character,1,3,0,0,0,,,[Seasoned]. (I keep my boosts when I go to Reserve.)  {J} I gain 1 boost.,,[Aguerrie]. (Je conserve mes boosts lorsque je vais en Réserve.)  {J} Je gagne 1 boost.,,ALT_CORE_B_BR_16_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_16/JPG/en_US/679a9c3a542565b05e531ed13af04465.jpg
BTG-035-F-EN,False,0,1,False,Bravos Bladedancer,Danseuse de Lames Bravos,Yzmir,Rare,Character,1,#2#,0,0,0,,,[Seasoned]. (I keep my boosts when I go to Reserve.)  {J} I gain 1 boost.,,[Aguerrie]. (Je conserve mes boosts lorsque je vais en Réserve.)  {J} Je gagne 1 boost.,,ALT_CORE_B_BR_16_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_16/JPG/en_US/b46ea60f3e04a6d0926b10b269f8f93b.jpg
BTG-036-C-EN,False,0,1,False,Ratatoskr,Ratatosk,Bravos,Common,Character,1,3,1,1,1,,,{R} I gain 2 boosts[]. (A boost is a +1/+1/+1 counter. Remove it when it leaves the Expedition zone.),,{R} Je gagne 2 boosts[]. (Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.),,ALT_CORE_B_BR_04_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_04/JPG/en_US/3450814142dec76e795545a4e18b0f7b.jpg
BTG-036-F-EN,False,0,1,False,Ratatoskr,Ratatosk,Ordis,Rare,Character,1,3,1,1,1,,,{R} #Create two [Ordis Recruit 1/1/1] Soldier tokens in my Expedition.#,,{R} #Créez deux jetons Soldat [1/1/1 Recrue Ordis] dans mon Expédition.#,,ALT_CORE_B_BR_04_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_04/JPG/en_US/d9b6911299747ba971c985d959187e22.jpg
BTG-037-C-EN,False,0,2,False,Bravos Pathfinder,Pionnière Bravos,Bravos,Common,Character,2,2,0,3,3,,,,,,,ALT_CORE_B_BR_08_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_08/JPG/en_US/48100018839b5151611f95de05b49516.jpg
BTG-037-C-EN,False,0,1,False,Bravos Pathfinder,Pionnière Bravos,Bravos,Common,Character,2,2,0,3,3,,,,,,,ALT_COREKS_B_BR_08_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_BR_08/JPG/en_US/0c329c4ea7f3f468150b7f6e1a5dbe01.jpg
BTG-037-F-EN,False,0,1,False,Bravos Pathfinder,Pionnière Bravos,Lyra,Rare,Character,2,2,0,3,3,,,,,,,ALT_COREKS_B_BR_08_R2,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_BR_08/JPG/en_US/2356ca90eb2bcb4ead875bca30dd4974.jpg
BTG-038-C-EN,False,0,1,False,Bravos Tracer,Traceuse Bravos,Bravos,Common,Character,2,2,3,3,3,,,"{J} I gain [[Fleeting]]. (If I would be sent to Reserve, discard me instead.)",,"{J} Je gagne [[Fugace]]. (Si je devais être envoyée en Réserve, défaussez-moi à la place.)",,ALT_CORE_B_BR_07_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_07/JPG/en_US/155a1a778e68760688939a5f83c82f5e.jpg
BTG-038-R-EN,False,0,1,False,Bravos Tracer,Traceuse Bravos,Bravos,Rare,Character,2,2,#4#,3,#4#,,,"{J} I gain [[Fleeting]]. (If I would be sent to Reserve, discard me instead.)",,"{J} Je gagne [[Fugace]]. (Si je devais être envoyée en Réserve, défaussez-moi à la place.)",,ALT_CORE_B_BR_07_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_07/JPG/en_US/15c35cc422cc7732606cc1d9b04953f5.jpg
BTG-039-C-EN,False,0,2,False,Chiron,Chiron,Bravos,Common,Character,2,2,1,1,1,,,{J} Target Character gains 1 boost[]. (A boost is a +1/+1/+1 counter. Remove it when it leaves the Expedition zone.),,{J} Un Personnage ciblé gagne 1 boost[]. (Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.),,ALT_CORE_B_BR_11_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_11/JPG/en_US/ba02a4b7f149dbab0a1b15066e83b61e.jpg
BTG-039-F-EN,False,0,1,False,Chiron,Chiron,Muna,Rare,Character,2,2,1,#0#,#0#,,,{J} #Up to two target Characters# each gain 1 boost.,,{J} #Jusqu'à deux Personnages ciblés# gagnent chacun 1 boost.,,ALT_COREKS_B_BR_11_R2,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_BR_11/JPG/en_US/62104bbe0324657e5205a1386e77e9f3.jpg
BTG-040-C-EN,False,0,1,False,Red,Red,Bravos,Common,Character,2,2,2,2,2,,,[Seasoned]. (I keep my boosts when I go to Reserve.),,[Aguerrie]. (Je conserve mes boosts lorsque je vais en Réserve.),,ALT_CORE_B_BR_10_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_10/JPG/en_US/55657f3e94ea1f9380751db57f91c4a8.jpg
BTG-041-C-EN,False,0,3,False,Tiny Jinn,Petit Djinn,Bravos,Common,Character,2,3,0,3,0,,,"If I would leave the Expedition zone while I'm [[Boosted]], put me in my owner's Mana zone instead (as an exhausted Mana Orb).  {R} I gain 1 boost.",,"Si je devais quitter la zone d'Expédition en étant [[Boosté]], mettez-moi dans la zone de Mana de mon propriétaire à la place (en tant qu'Orbe de Mana épuisé).  {R} Je gagne 1 boost.",,ALT_CORE_B_BR_06_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_06/JPG/en_US/eee872fbdbb7a441934e3d7ac9f50db1.jpg
BTG-041-R-EN,False,0,1,False,Tiny Jinn,Petit Djinn,Bravos,Rare,Character,#1#,#2#,0,#2#,0,,,"If I would leave the Expedition zone while I'm [[Boosted]], put me in my owner's Mana zone instead (as an exhausted Mana Orb).  {R} I gain 1 boost.",,"Si je devais quitter la zone d'Expédition en étant [[Boosté]], mettez-moi dans la zone de Mana de mon propriétaire à la place (en tant qu'Orbe de Mana épuisé).  {R} Je gagne 1 boost.",,ALT_CORE_B_BR_06_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_06/JPG/en_US/3d092ae04e946584440eb9061f5be2ac.jpg
BTG-042-C-EN,False,0,1,False,Haven Trainee,Aspirant de Havre,Bravos,Common,Character,2,4,3,1,1,,,{R} I gain 2 boosts[]. (A boost is a +1/+1/+1 counter. Remove it when it leaves the Expedition zone.),,{R} Je gagne 2 boosts[]. (Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.),,ALT_CORE_B_BR_09_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_09/JPG/en_US/1474025f3fba7faabcd82b449d25ca11.jpg
BTG-043-C-EN,False,0,1,False,Bravos Vanguard,Avant-Garde Bravos,Bravos,Common,Character,3,3,4,2,2,,,{J} You may have another target Character lose [[Fleeting]].,,{J} Vous pouvez faire perdre [[Fugace]] à un autre Personnage ciblé.,,ALT_CORE_B_BR_14_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_14/JPG/en_US/c0e118402e6cd298a1d1fa53615adcad.jpg
BTG-043-R-EN,False,0,1,False,Bravos Vanguard,Avant-Garde Bravos,Bravos,Rare,Character,3,3,4,2,2,,,{J} You may have another target Character lose [[Fleeting]] #and gain 1 boost#.,,{J} Vous pouvez faire perdre [[Fugace]] #et gagner 1 boost# à un autre Personnage ciblé.,,ALT_CORE_B_BR_14_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_14/JPG/en_US/a3350ac4a62be86d76a78f05022732ae.jpg
BTG-043-F-EN,False,0,1,False,Bravos Vanguard,Avant-Garde Bravos,Axiom,Rare,Character,3,3,4,2,2,,,{J} You may have another target Character lose [[Fleeting]] #and gain 1 boost#.,,{J} Vous pouvez faire perdre [[Fugace]] #et gagner 1 boost# à un autre Personnage ciblé.,,ALT_CORE_B_BR_14_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_14/JPG/en_US/0407b11f5a2e455a0e407d67ef4a21c7.jpg
BTG-044-C-EN,False,0,1,False,Haven Bouncer,Videuse Bravos,Bravos,Common,Character,3,3,2,2,2,,,{H} [Sabotage]. (Discard up to one target card from a Reserve.)  {R} I gain 1 boost[]. (A boost is a +1/+1/+1 counter. Remove it when it leaves the Expedition zone.),,{H} [Sabotez]. (Défaussez jusqu'à une carte d'une Réserve.)  {R} Je gagne 1 boost[]. (Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.),,ALT_CORE_B_BR_15_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_15/JPG/en_US/f13f7a7ecdcd03a32feff2cafdad133f.jpg
BTG-046-C-EN,False,0,1,False,Hua Mulan,Hua Mulan,Bravos,Common,Character,3,3,1,3,3,,,{R} I lose [[Fleeting]].,,{R} Je perds [[Fugace]].,,ALT_COREKS_B_BR_12_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_BR_12/JPG/en_US/8d5b9e861ee39380cfb4f232122fb20b.jpg
BTG-046-C-EN,False,0,2,False,Hua Mulan,Hua Mulan,Bravos,Common,Character,3,3,1,3,3,,,{R} I lose [[Fleeting]].,,{R} Je perds [[Fugace]].,,ALT_CORE_B_BR_12_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_12/JPG/en_US/1fa548da31f22b9a17e7c98d2ef44ca6.jpg
BTG-046-F-EN,False,0,1,False,Hua Mulan,Hua Mulan,Yzmir,Rare,Character,#2#,#2#,1,#2#,#2#,,,{R} I lose [[Fleeting]].,,{R} Je perds [[Fugace]].,,ALT_COREKS_B_BR_12_R2,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_BR_12/JPG/en_US/7282915c1b9840dbb536d636fa183697.jpg
BTG-047-C-EN,False,0,2,False,Tomoe Gozen,Tomoe Gozen,Bravos,Common,Character,3,3,2,5,5,,,I can't be played if you have less than seven Mana Orbs.,,Je ne peux pas être jouée si vous avez moins de sept Orbes de Mana.,,ALT_CORE_B_BR_23_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_23/JPG/en_US/85c2a34055fda15468ef42c925f55681.jpg
BTG-048-C-EN,False,0,2,False,Sun Wukong,Sun Wukong,Bravos,Common,Character,3,4,2,4,2,,,{R} I gain 2 boosts[]. (A boost is a +1/+1/+1 counter. Remove it when it leaves the Expedition zone.),,{R} Je gagne 2 boosts[]. (Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.),,ALT_CORE_B_BR_18_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_18/JPG/en_US/341ef3a6b54caa79b6aaa77849bdc949.jpg
BTG-049-C-EN,False,0,1,False,Mighty Jinn,Puissant Djinn,Bravos,Common,Character,4,3,4,4,0,,,"If I would leave the Expedition zone, you may put me in my owner's Mana zone instead (as an exhausted Mana Orb).",,Lorsque je quitte la zone d'Expédition — Vous pouvez me mettre dans la zone de Mana de mon propriétaire (en tant qu'Orbe de Mana épuisé).,,ALT_CORE_B_BR_19_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_19/JPG/en_US/05bcbcd92d923c4388f760fc30ee48e3.jpg
BTG-050-C-EN,False,0,2,False,Kappa,Kappa,Bravos,Common,Character,4,4,4,4,5,,,,,,,ALT_CORE_B_BR_13_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_13/JPG/en_US/492402e3178c42d06fe23930574251ac.jpg
BTG-051-C-EN,False,0,1,False,Achilles,Achille,Bravos,Common,Character,5,5,5,5,5,,,[Tough 1]. (Your opponent's Spells and abilities that target me cost {1} more.),,[Coriace 1]. (Les Sorts et capacités d'un adversaire qui me ciblent coûtent {1} de plus.),,ALT_CORE_B_BR_21_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_21/JPG/en_US/f7f9f0aecf51bde57e46f6bfddba0ec6.jpg
BTG-051-R-EN,False,0,1,False,Achilles,Achille,Bravos,Rare,Character,5,5,5,#6#,#6#,,,#[Tough 2].# (Your opponent's Spells and abilities that target me cost {2} more.),,#[Coriace 2].# (Les Sorts et capacités d'un adversaire qui me ciblent coûtent {2} de plus.),,ALT_CORE_B_BR_21_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_21/JPG/en_US/744fb06a40eb461fc4380069acfbaa58.jpg
BTG-052-C-EN,False,0,1,False,Atlas,Atlas,Bravos,Common,Character,5,5,3,3,3,,,[Gigantic]. (I am considered present in each of your Expeditions.),,[Gigantesque]. (Je suis considéré présent dans chacune de vos Expéditions.),,ALT_COREKS_B_BR_20_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_BR_20/JPG/en_US/7b930f33efcd43f7dadbb7485bd8fdbf.jpg
BTG-052-C-EN,False,0,1,False,Atlas,Atlas,Bravos,Common,Character,5,5,3,3,3,,,[Gigantic]. (I am considered present in each of your Expeditions.),,[Gigantesque]. (Je suis considéré présent dans chacune de vos Expéditions.),,ALT_CORE_B_BR_20_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_20/JPG/en_US/c1fbd958f973af3de273e7a387bfa108.jpg
BTG-052-R-EN,False,0,1,False,Atlas,Atlas,Bravos,Rare,Character,5,5,3,3,3,,,[Gigantic]. (I am considered present in each of your Expeditions.)  #[Seasoned].# (I keep my boosts when I go to Reserve.),#{D} : The next Character you play this turn gains 2 boosts.# (Discard me from Reserve to do this.),[Gigantesque]. (Je suis considéré présent dans chacune de vos Expéditions.)  #[Aguerri].# (Je conserve mes boosts lorsque je vais en Réserve.),#{D} : Le prochain Personnage que vous jouez ce tour gagne 2 boosts.# (Défaussez-moi de la Réserve pour ça.),ALT_CORE_B_BR_20_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_20/JPG/en_US/856dd5310325dae5daa73c2645c5e4fc.jpg
BTG-053-C-EN,False,0,1,False,Shenlong,Shenlong,Bravos,Common,Character,6,6,8,8,8,,,,,,,ALT_CORE_B_BR_22_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_22/JPG/en_US/b8fc4b5fbea4e1f62ecbcb6419f5313d.jpg
BTG-053-R-EN,False,0,1,False,Shenlong,Shenlong,Bravos,Rare,Character,6,6,#9#,#9#,#9#,,,#[Tough 1].# (Your opponent's Spells and abilities that target me cost {1} more.),,#[Coriace 1].# (Les Sorts et capacités d'un adversaire qui me ciblent coûtent {1} de plus.),,ALT_CORE_B_BR_22_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_22/JPG/en_US/cea93fdd713f5af7bfc0ea964760871c.jpg
BTG-054-C-EN,False,0,2,False,"Kaibara, Asgarthan Leviathan","Kaibara, Léviathan Asgarthi",Bravos,Common,Character,8,8,6,6,6,,,"[Gigantic]. (I am considered present in each of your Expeditions.)  [Tough X], where X is the number of regions between your Hero and Companion. (If they are adjacent, X equals 0. Your opponent's Spells and abilities that target me cost {X} more.)",,"[Gigantesque]. (Je suis considéré présent dans chacune de vos Expéditions.)  [Coriace X], X étant le nombre de régions entre votre Héros et votre Compagnon. (S'ils sont adjacents, X est égal à 0. Les Sorts et capacités d'un adversaire qui me ciblent coûtent {X} de plus.)",,ALT_CORE_B_BR_24_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_24/JPG/en_US/33d3504877002bb76842a662c17540c9.jpg
BTG-055-C-EN,False,0,2,False,Helping Hand,Main Tendue,Bravos,Common,Spell,1,2,,,,,,Target Character gains 1 boost[] and loses [[Fleeting]]. (A boost is a +1/+1/+1 counter. Remove it when it leaves the Expedition zone.),,Un Personnage ciblé gagne 1 boost[] et perd [[Fugace]]. (Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.),,ALT_CORE_B_BR_25_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_25/JPG/en_US/8ed5fc7b37d2ee088ea35197bfc954b0.jpg
BTG-055-F-EN,False,0,2,False,Helping Hand,Main Tendue,Yzmir,Rare,Spell,1,2,,,,,,Target Character gains 1 boost and loses [[Fleeting]].,,Un Personnage ciblé gagne 1 boost et perd [[Fugace]].,,ALT_CORE_B_BR_25_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_25/JPG/en_US/eed2b803e7cdb114899d81e2a1466f74.jpg
BTG-057-C-EN,False,0,2,False,Mana Channeling,Canalisation de Mana,Bravos,Common,Spell,2,2,,,,,,[[Fleeting]]. (Send me to Discard instead of Reserve after my effect resolves.)  Put the top card of your deck in your Mana zone (as an exhausted Mana Orb).,,[[Fugace]]. (Envoyez-moi à la Défausse plutôt qu'en Réserve après résolution de mon effet.)  Mettez la première carte de votre deck dans votre zone de Mana (en tant qu'Orbe de Mana épuisé).,,ALT_CORE_B_BR_27_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_27/JPG/en_US/82efe9e8d53f4134c97e324fef453f70.jpg
BTG-057-F-EN,False,0,1,False,Mana Channeling,Canalisation de Mana,Muna,Rare,Spell,2,2,,,,,,[[Fleeting]]. (Send me to Discard instead of Reserve after my effect resolves.)  Put the top card of your deck in your Mana zone (as an exhausted Mana Orb).,,[[Fugace]]. (Envoyez-moi à la Défausse plutôt qu'en Réserve après résolution de mon effet.)  Mettez la première carte de votre deck dans votre zone de Mana (en tant qu'Orbe de Mana épuisé).,,ALT_CORE_B_BR_27_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_27/JPG/en_US/8b743dc79d390e1678ee5ed1923843b2.jpg
BTG-058-C-EN,False,0,1,False,Physical Training,Entraînement Physique,Bravos,Common,Spell,2,3,,,,,,Target Character gains 3 boosts[]. (A boost is a +1/+1/+1 counter. Remove it when it leaves the Expedition zone.),,Un Personnage ciblé gagne 3 boosts[]. (Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.),,ALT_CORE_B_BR_26_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_26/JPG/en_US/6789dfdd0db0886aa0888d5d6190ee82.jpg
BTG-058-F-EN,False,0,1,False,Physical Training,Entraînement Physique,Muna,Rare,Spell,2,3,,,,,,Target Character gains 3 boosts[]. (A boost is a +1/+1/+1 counter. Remove it when it leaves the Expedition zone.),,Un Personnage ciblé gagne 3 boosts[]. (Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.),,ALT_CORE_B_BR_26_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_26/JPG/en_US/372979dbfd7d5c5c29f3a21d224f6891.jpg
BTG-059-C-EN,False,0,1,False,Mana Eruption,Éruption de Mana,Bravos,Common,Spell,3,3,,,,,,"[[Fleeting]]. (Send me to Discard instead of Reserve after my effect resolves.)  Discard one of your Mana Orbs. If you do, discard target Character or Permanent.",,"[[Fugace]]. (Envoyez-moi à la Défausse plutôt qu'en Réserve après résolution de mon effet.)  Défaussez un de vos Orbes de Mana. Si vous le faites, défaussez un Personnage ou Permanent ciblé.",,ALT_CORE_B_BR_29_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_29/JPG/en_US/fcb6ac1782c6fa227e275b1c9bcd4b97.jpg
BTG-059-R-EN,False,0,1,False,Mana Eruption,Éruption de Mana,Bravos,Rare,Spell,#2#,#2#,,,,,,"[[Fleeting]]. (Send me to Discard instead of Reserve after my effect resolves.)  Discard one of your Mana Orbs. If you do, discard target Character or Permanent.",,"[[Fugace]]. (Envoyez-moi à la Défausse plutôt qu'en Réserve après résolution de mon effet.)  Défaussez un de vos Orbes de Mana. Si vous le faites, défaussez un Personnage ou Permanent ciblé.",,ALT_CORE_B_BR_29_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_29/JPG/en_US/a14d708c591de67014dd7f6de26c31f2.jpg
BTG-060-C-EN,False,0,1,False,"Haven, Bravos Bastion","Havre, Bastion Bravos",Bravos,Common,Permanent,2,2,,,,,,"Your Characters have: "" {R} I gain 1 boost[]."" (A boost is a +1/+1/+1 counter. Remove it when it leaves the Expedition zone.)",,Vos Personnages ont : « {R} Je gagne 1 boost[]. » (Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.),,ALT_CORE_B_BR_30_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_30/JPG/en_US/80b1055eb4f10650999b6beb0ad98114.jpg
BTG-061-H-EN,False,0,2,False,Nevenka & Blotch,Nevenka & Blotch,Lyra,Common,Hero,,,,,,2,2,"{T} : Target a Character you control, then roll a die. On a:  • 6+, it gains [[Anchored]]. (During Rest, it doesn't go to Reserve and it loses Anchored.)  • 2-5, it gains 1 boost. (A boost is a +1/+1/+1 counter. Remove it when it leaves the Expedition zone.)  • 1, send it to Reserve.",,"{T} : Ciblez un Personnage que vous contrôlez, puis lancez un dé. Sur :  • 6+, il gagne [[Ancré]]. (Au Repos, il ne va pas en Réserve et il perd Ancré.)  • 2-5, il gagne 1 boost. (Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.)  • 1, envoyez-le en Réserve.",,ALT_CORE_B_LY_01_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_01/JPG/en_US/01629e62f492c4861737f49ff45f57e2.jpg
BTG-062-H-EN,False,0,2,False,Auraq & Kibble,Auraq & Kibble,Lyra,Common,Hero,,,,,,2,2,When you play a Character with a base statistic of 0 — I gain a Performance counter.  At Noon — You may spend five of my Performance counters to reveal the top card of your deck. You may play it for free or put it into your hand. (Don't activate any {h} abilities.),,Lorsque vous jouez un Personnage avec une statistique de base 0 — Je gagne un compteur Spectacle.  À Midi — Vous pouvez dépenser cinq de mes compteurs Spectacle pour révéler la première carte de votre deck. Vous pouvez la jouer gratuitement ou la mettre dans votre main. (N'activez pas de capacités {h}.),,ALT_CORE_B_LY_02_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_02/JPG/en_US/3bcc90462a140aded512c9d1f208336c.jpg
BTG-063-H-EN,False,0,2,False,Fen & Crowbar,Fen & Crowbar,Lyra,Common,Hero,,,,,,2,2,"During Morning, draw only one card. Then, put the top card of your deck in your Mana zone instead of a card from your hand.  At Noon — [Resupply]. (Put the top card of your deck in Reserve.)  Ignore my abilities during the first Day.",,"Le Matin, piochez une seule carte. Puis, mettez la première carte de votre deck dans votre zone de Mana, au lieu d'une carte de votre main.  À Midi — [Ravitaillez]. (Mettez la première carte de votre deck en Réserve.)  Ignorez mes capacités le premier Jour.",,ALT_CORE_B_LY_03_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_03/JPG/en_US/f7f9659f979a9861432990c14323d0af.jpg
BTG-064-C-EN,False,0,1,False,Martengale,Martengale,Lyra,Common,Character,1,1,1,1,0,,,,{D} : The next card you play this turn costs {1} less. (Discard me from Reserve to do this.),,{D} : La prochaine carte que vous jouez ce tour coûte {1} de moins. (Défaussez-moi de la Réserve pour ça.),ALT_COREKS_B_LY_04_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_LY_04/JPG/en_US/96268bfe73004a50e7ca8ed234eab750.jpg
BTG-064-F-EN,False,0,1,False,Martengale,Martengale,Axiom,Rare,Character,1,1,1,1,0,,,,{D} : The next card you play this turn costs {1} less. (Discard me from Reserve to do this.),,{D} : La prochaine carte que vous jouez ce tour coûte {1} de moins. (Défaussez-moi de la Réserve pour ça.),ALT_CORE_B_LY_04_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_04/JPG/en_US/d4405f2c187b2b94f87d22afbd7a82eb.jpg
BTG-065-C-EN,False,0,2,False,Ouroboros Trickster,Prestidigitatrice de l'Ouroboros,Lyra,Common,Character,2,1,0,0,0,,,"{J} Roll a die. On a 4+, I gain 2 boosts. On a 1-3, I gain 1 boost[]. (A boost is a +1/+1/+1 counter. Remove it when it leaves the Expedition zone.)",,"{J} Lancez un dé. Sur 4+, je gagne 2 boosts. Sur 1-3, je gagne 1 boost[]. (Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.)",,ALT_CORE_B_LY_06_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_06/JPG/en_US/df5a482ab68149db53e005bcd11e07fe.jpg
BTG-065-R-EN,False,0,2,False,Ouroboros Trickster,Prestidigitatrice de l'Ouroboros,Lyra,Rare,Character,2,#2#,0,0,0,,,"{J} Roll a die. On a 4+, I gain #3 boosts#. On a 1-3, I gain 1 boost[]. (A boost is a +1/+1/+1 counter. Remove it when it leaves the Expedition zone.)",,"{J} Lancez un dé. Sur 4+, je gagne #3 boosts#. Sur 1-3, je gagne 1 boost[]. (Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.)",,ALT_CORE_B_LY_06_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_06/JPG/en_US/ed9d3263237ee6120dd92834d52edce1.jpg
